         12683048 function calls (12127051 primitive calls) in 18.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      966    0.034    0.000    0.962    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/eval.py:153(eval)
       66    0.033    0.001    0.041    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/h5py/_hl/dataset.py:476(__getitem__)
      159    0.033    0.000    0.157    0.001 /home/stefan/PycharmProjects/Sokrates3.1/simmix.py:935(excluding_pair_boolean_sim_generated)
      966    0.033    0.000    1.746    0.002 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/frame.py:2861(eval)
    10971    0.033    0.000    0.074    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:116(__init__)
    25717    0.033    0.000    0.076    0.000 /usr/lib/python3.6/abc.py:180(__instancecheck__)
     4427    0.032    0.000    0.085    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/backends/backend_svg.py:141(start)
     8270    0.032    0.000    0.059    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:473(_simple_new)
   172064    0.031    0.000    0.031    0.000 {method 'split' of 'str' objects}
     6762    0.031    0.000    0.077    0.000 /usr/lib/python3.6/tokenize.py:492(_tokenize)
     1525    0.031    0.000    0.803    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:4518(take)
     6968    0.031    0.000    0.126    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:3148(get_block_type)
     3801    0.030    0.000    0.037    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/bezier.py:177(point_at_t)
      966    0.030    0.000    0.030    0.000 {built-in method builtins.compile}
    10971    0.030    0.000    0.235    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:3191(make_block)
     6480    0.030    0.000    0.293    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/series.py:4019(_sanitize_array)
    18278    0.030    0.000    0.048    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/utils/cell.py:76(_get_column_letter)
     1586    0.030    0.000    0.035    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/numerictypes.py:927(_can_coerce_all)
     5453    0.029    0.000    0.143    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:971(maybe_cast_to_datetime)
     5540    0.029    0.000    0.038    0.000 /home/stefan/PycharmProjects/Sokrates3.1/littletools/nested_list_tools.py:157(check_for_tuple_in_list)
    15228    0.029    0.000    0.105    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1688(is_extension_array_dtype)
   106731    0.028    0.000    0.037    0.000 {method 'get' of 'dict' objects}
     9358    0.028    0.000    0.028    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/generic.py:124(__init__)
    10169    0.028    0.000    0.069    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pygraphviz/agraph.py:1609(__new__)
    10296    0.027    0.000    0.027    0.000 {built-in method pyxdameraulevenshtein.damerau_levenshtein_distance}
