         12683048 function calls (12127051 primitive calls) in 18.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.001    0.000    0.042    0.005 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:1020(_update_ticks)
      215    0.001    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/generic.py:1490(__hash__)
       78    0.001    0.000    0.119    0.002 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_base.py:2022(add_patch)
      340    0.001    0.000    0.007    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/backend_bases.py:787(new_gc)
       64    0.001    0.000    0.001    0.000 {method 'view_as' of 'torch._C._TensorBase' objects}
        5    0.001    0.000    0.017    0.003 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/drawing/nx_pylab.py:708(draw_networkx_labels)
      192    0.001    0.000    0.049    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/apply.py:97(dtypes)
      218    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       68    0.001    0.000    0.016    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:494(_get_gridline)
        1    0.001    0.001    0.001    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/jdcal.py:40(<module>)
      970    0.001    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/neo4j/v1/api.py:710(keys)
       55    0.001    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/thinc/neural/_classes/layernorm.py:78(_begin_update_scale_shift)
      398    0.001    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/artist.py:924(set_zorder)
      206    0.001    0.000    0.025    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/nanops.py:318(nanany)
      105    0.001    0.000    0.001    0.000 /usr/lib/python3.6/posixpath.py:154(dirname)
       67    0.001    0.000    0.008    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:559(_get_text1)
    75/15    0.001    0.000    0.027    0.002 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/thinc/neural/_classes/feed_forward.py:43(begin_update)
       23    0.001    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:5584(get_mgr_concatenation_plan)
      352    0.001    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/subj_and_aspectrix.py:276(put_into_nx)
      125    0.001    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/patches.py:373(set_linestyle)
    68/58    0.001    0.000    0.022    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:468(_get_tick1line)
       27    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
      442    0.000    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/numeric.py:156(ones)
      505    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:120(getLevelName)
      104    0.000    0.000    0.004    0.000 /usr/lib/python3.6/subprocess.py:1401(_try_wait)
     2114    0.000    0.000    0.000    0.000 src/lxml/apihelpers.pxi:1400(funicode)
      222    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1569(is_unique)
     2011    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:203(internal_values)
      531    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1581(is_integer)
       75    0.000    0.000    0.005    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/thinc/neural/_classes/layernorm.py:90(_get_moments)
     1380    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/reportviews.py:259(<genexpr>)
      196    0.000    0.000    0.043    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexing.py:147(_slice)
      204    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1332(_set_names)
      492    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1577(nonzero)
      192    0.000    0.000    0.049    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/apply.py:93(values)
      418    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/database.py:1099(__init__)
       68    0.000    0.000    0.007    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:435(_get_text1)
     1282    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:4709(index)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
    67/57    0.000    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:589(_get_tick1line)
      430    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/text.py:949(set_color)
        5    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/linalg/linalg.py:1140(eig)
      662    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/descriptors/base.py:128(__set__)
      405    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/lines.py:715(set_transform)
      636    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/backend_bases.py:1077(set_foreground)
      188    0.000    0.000    0.041    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/series.py:759(_slice)
      405    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/lines.py:989(set_drawstyle)
       66    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/figure.py:460(_get_axes)
        7    0.000    0.000    1.002    0.143 /home/stefan/PycharmProjects/Sokrates3.1/correlatrix.py:36(annotate_correlations)
        1    0.000    0.000    0.090    0.090 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/writer/etree_worksheet.py:29(write_rows)
       66    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/h5py/_hl/selections.py:250(__getitem__)
  116/110    0.000    0.000    0.006    0.000 /usr/lib/python3.6/typing.py:875(__extrahook__)
      749    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     6936    0.000    0.000    0.000    0.000 src/lxml/serializer.pxi:1389(__cinit__)
       64    0.000    0.000    0.000    0.000 {method 'new' of 'torch._C._TensorBase' objects}
      113    0.000    0.000    0.006    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy_indexed/grouping.py:576(group_by)
      624    0.000    0.000    0.001    0.000 src/lxml/apihelpers.pxi:540(_getNodeAttributeValue)
     1742    0.000    0.000    0.001    0.000 src/lxml/etree.pyx:978(__get__)
      285    0.000    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/shape_base.py:283(<listcomp>)
      418    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/neo4j/v1/api.py:335(send)
       78    0.000    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/bezier.py:481(concatenate_paths)
      405    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/lines.py:619(axes)
       68    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/torch/nn/init.py:178(_calculate_fan_in_and_fan_out)
      179    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/reportviews.py:189(__call__)
      851    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       66    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/h5py/_hl/base.py:85(is_empty_dataspace)
      416    0.000    0.000    0.004    0.000 /usr/lib/python3.6/shlex.py:97(get_token)
     2390    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/font_manager.py:784(get_size_in_points)
      854    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/transforms.py:1747(_get_is_affine)
      377    0.000    0.000    0.013    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:3916(<listcomp>)
      285    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/shape_base.py:236(hstack)
       17    0.000    0.000    0.005    0.000 {pandas._libs.lib.clean_index_list}
      580    0.000    0.000    0.049    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/patches.py:736(get_patch_transform)
      405    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/lines.py:1194(set_markersize)
      662    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/descriptors/base.py:142(__set__)
      536    0.000    0.000    0.005    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/font_manager.py:724(__eq__)
       66    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/h5py/_hl/selections.py:147(__init__)
       32    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/scipy/sparse/compressed.py:133(check_format)
     3356    0.000    0.000    0.000    0.000 {built-in method math.isnan}
      701    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
       49    0.000    0.000    0.000    0.000 tokenizer.pyx:313(find_suffix)
       60    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/torch/nn/modules/module.py:62(__init__)
      188    0.000    0.000    0.029    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/algorithms.py:1195(get_indexer)
      418    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/neo4j/compat/__init__.py:50(ustr)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1046    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       55    0.000    0.000    0.028    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_axes.py:561(text)
      405    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/lines.py:1342(set_dash_joinstyle)
      982    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:16(__init__)
      192    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/apply.py:101(agg_axis)
    67/57    0.000    0.000    0.022    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:604(_get_tick2line)
      188    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/numeric.py:193(_assert_safe_casting)
     1246    0.000    0.000    0.000    0.000 {built-in method _graphviz.agnxtnode}
  623/235    0.000    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_base.py:768(get_yaxis_transform)
      410    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/font_manager.py:807(set_family)
      624    0.000    0.000    0.000    0.000 /usr/lib/python3.6/glob.py:22(iglob)
  222/221    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      119    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/digraph.py:826(edges)
       84    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/ticker.py:773(pprint_val)
        4    0.000    0.000    2.780    0.695 /home/stefan/PycharmProjects/Sokrates3.1/predicatrix2.py:741(draw_predicate_structure)
      164    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1763(_convert_listlike_indexer)
      477    0.000    0.000    0.014    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pygraphviz/agraph.py:499(get_edge)
      180    0.000    0.000    0.042    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:231(set_clip_path)
      360    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/descriptors/base.py:104(__set__)
  632/240    0.000    0.000    0.024    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_base.py:688(get_xaxis_transform)
      104    0.000    0.000    0.002    0.000 /usr/lib/python3.6/subprocess.py:1154(_get_handles)
      623    0.000    0.000    0.000    0.000 {built-in method _graphviz.agsubnode}
     2384    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/font_manager.py:787(get_file)
      120    0.000    0.000    0.011    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/ticker.py:1803(__init__)
      515    0.000    0.000    0.000    0.000 {built-in method time.time}
     4528    0.000    0.000    0.000    0.000 src/lxml/apihelpers.pxi:18(_assertValidNode)
     2431    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
      150    0.000    0.000    0.000    0.000 {built-in method _graphviz.agattr_label}
      205    0.000    0.000    0.050    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexing.py:2075(_getitem_axis)
      947    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/neo4j/v1/api.py:723(records)
     1246    0.000    0.000    0.000    0.000 {built-in method _graphviz.agfstout}
      219    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/frame.py:555(shape)
      527    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/lines.py:1215(set_ydata)
      533    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/database.py:1155(forward)
    68/58    0.000    0.000    0.022    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:479(_get_tick2line)
       66    0.000    0.000    0.000    0.000 {built-in method h5py.h5t.py_create}
      248    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2016(all)
       88    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_base.py:2136(update_datalim)
       54    0.000    0.000    0.001    0.000 /usr/lib/python3.6/tempfile.py:257(_sanitize_params)
       60    0.000    0.000    0.020    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:844(set_tick_params)
       29    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:5457(get_empty_dtype_and_na)
      262    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/text.py:524(_update_clip_properties)
       54    0.000    0.000    0.005    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/function.py:1167(number_of_selfloops)
      372    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/styles/styleable.py:136(style_id)
    70/50    0.000    0.000    0.127    0.003 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:927(set_clip_path)
       78    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/reportviews.py:642(__init__)
       14    0.000    0.000    0.007    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/reshape/concat.py:234(__init__)
      103    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/corpus_reader.py:93(override_spacy)
     1025    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/transforms.py:991(get_points)
      436    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      555    0.000    0.000    0.000    0.000 stringsource:345(__cinit__)
      699    0.000    0.000    0.001    0.000 /usr/lib/python3.6/mimetypes.py:80(add_type)
      226    0.000    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1938(<lambda>)
      921    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       88    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/transforms.py:869(update_from_path)
      215    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/simmix.py:447(reduce_i_s_pair_tuples)
      599    0.000    0.000    0.002    0.000 /usr/lib/python3.6/fnmatch.py:19(fnmatch)
     2926    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/transforms.py:1814(get_affine)
      418    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/database.py:134(driver)
       85    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/artist.py:963(update_from)
      222    0.000    0.000    0.018    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/backends/backend_svg.py:452(_get_style)
     1944    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       20    0.000    0.000    0.005    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_base.py:3071(set_xlim)
        5    0.000    0.000    0.016    0.003 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_axes.py:4096(scatter)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1020    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      375    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/text.py:1209(set_usetex)
       62    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/data.py:972(__init__)
       67    0.000    0.000    0.006    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:574(_get_text2)
      477    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/drawing/nx_agraph.py:168(<dictcomp>)
      314    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      221    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       48    0.000    0.000    0.001    0.000 tokenizer.pyx:161(_split_affixes)
      619    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:111(__init__)
      599    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/corpus_reader.py:179(<lambda>)
     1608    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/font_manager.py:1161(score_style)
       15    0.000    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:4208(set)
       18    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/lib/function_base.py:4065(delete)
       36    0.000    0.000    0.000    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
       77    0.000    0.000    0.306    0.004 {method 'extend' of 'collections.deque' objects}
       20    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/thinc/neural/_classes/maxout.py:64(predict)
      908    0.000    0.000    0.000    0.000 {built-in method _graphviz.agnxtout}
     1406    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:248(match)
     1286    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/coreviews.py:44(__init__)
      120    0.000    0.000    0.017    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:770(_set_scale)
      232    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/bezier.py:97(<listcomp>)
       54    0.000    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/styles/fonts.py:70(__init__)
      130    0.000    0.000    0.001    0.000 /usr/lib/python3.6/contextlib.py:85(__exit__)
      272    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/subj_and_aspectrix.py:325(add_possible_correlation_edge)
       67    0.000    0.000    0.002    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axes/_base.py:793(get_yaxis_text1_transform)
     1066    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       80    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/scipy/sparse/sputils.py:120(get_index_dtype)
  236/158    0.000    0.000    0.003    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/transforms.py:2442(__eq__)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
      836    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/neo4j/v1/types/spatial.py:149(hydration_functions)
      158    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/reportviews.py:253(__iter__)
      405    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/lines.py:1158(set_markeredgewidth)
      316    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/predicatrix2.py:276(<listcomp>)
        9    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/convert_matrix.py:968(to_numpy_array)
       10    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Compress' objects}
       64    0.000    0.000    0.000    0.000 {method 'sign' of 'torch._C._TensorBase' objects}
      296    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/backend_bases.py:1003(set_alpha)
      179    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/digraph.py:313(adj)
     3356    0.000    0.000    0.000    0.000 {built-in method math.isinf}
       66    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/h5py/_hl/selections.py:435(_handle_simple)
      421    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/openpyxl/styles/colors.py:133(__set__)
      120    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:1588(set_major_locator)
      208    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
      130    0.000    0.000    0.000    0.000 /usr/lib/python3.6/contextlib.py:59(__init__)
     1385    0.000    0.000    0.000    0.000 {built-in method _graphviz.agtail}
       78    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/patches.py:4208(set_connectionstyle)
       68    0.000    0.000    0.006    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/axis.py:452(_get_text2)
      114    0.000    0.000    0.000    0.000 /usr/lib/python3.6/os.py:742(encode)
       58    0.000    0.000    0.004    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/internal/hydration.py:25(inst_constructor)
        8    0.000    0.000    0.510    0.064 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/allennlp/modules/lstm_cell_with_projection.py:83(reset_parameters)
      294    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/networkx/classes/reportviews.py:167(__init__)
      110    0.000    0.000    0.001    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/backends/backend_svg.py:165(comment)
      322    0.000    0.000    0.000    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/lib/stride_tricks.py:20(__init__)
